indexDados;codigNomeMateria;codigoTurma;ano;semestre;professor;cargahoraria;horario;vagasOfertadas;vagasOcupadas;local;horarioSeparado;percDisciplina;salaSeparada;predio;lotacao;percOcupacaoReal;percOcupacaoTotal
228;FGA0169 - FONTES DE ENERGIA E TECNOLOGIAS DE CONVERSÃO;1;2022;2;AUGUSTO CESAR DE MENDONCA BRASIL;60h;46M12;60;34;FGA - SALA S7;;;S7;;;;
229;FGA0170 - FUNDAMENTOS DE SISTEMAS OPERACIONAIS;1;2022;2;TIAGO ALVES DA FONSECA;60h;26M12;80;75;FGA - SALA S09 E S4;;;S9;;;;
230;FGA0170 - FUNDAMENTOS DE SISTEMAS OPERACIONAIS;1;2022;2;TIAGO ALVES DA FONSECA;60h;26M12;80;75;FGA - SALA S09 E S4;;;S4;;;;
231;FGA0172 - REQUISITOS DE SOFTWARE;1;2022;2;GEORGE MARSICANO CORREA;60h;35T23;45;33;FGA - SALA I7;;;I7;;;;
232;FGA0172 - REQUISITOS DE SOFTWARE;2;2022;2;ANDRE BARROS DE SALES;60h;35M34;48;48;FGA - SALA I5;;;I5;;;;
233;FGA0173 - INTERAÇÃO HUMANO COMPUTADOR;1;2022;2;SERGIO ANTONIO ANDRADE DE FREITAS;60h;24M34;42;39;FGA - SALA S7 E I6;;;S7;;;;
234;FGA0173 - INTERAÇÃO HUMANO COMPUTADOR;1;2022;2;SERGIO ANTONIO ANDRADE DE FREITAS;60h;24M34;42;39;FGA - SALA S7 E I6;;;I6;;;;
235;FGA0173 - INTERAÇÃO HUMANO COMPUTADOR;2;2022;2;ANDRE BARROS DE SALES;60h;35M12;51;46;FGA - SALA MOCAP;;;Mocap;;;;
236;FGA0175 - ENGENHARIA DE PETRÓLEO E GÁS;1;2022;2;FELIPE CHAGAS STORTI;60h;35T45;45;27;FGA - SALA S5;;;S5;;;;
237;FGA0177 - ANÁLISE INSTRUMENTAL DE COMBUSTÍVEIS;1;2022;2;MARIA DEL PILAR HIDALGO FALLA;60h;35T23;45;4;FGA - SALA I5;;;I5;;;;
238;FGA0179 - MECANICA DOS SÓLIDOS 2 PARA ENGENHARIA;1;2022;2;RITA DE CASSIA SILVA;60h;35M34;50;15;FGA - SALA I9;;;I9;;;;
239;FGA0179 - MECANICA DOS SÓLIDOS 2 PARA ENGENHARIA;2;2022;2;MAURA ANGELICA MILFONT SHZU;60h;35T45;50;43;FGA - SALA S7;;;S7;;;;
240;FGA0184 - GESTÃO DA PRODUÇÃO E QUALIDADE;1;2022;2;MARIO DE OLIVEIRA ANDRADE;60h;35T45;130;128;FGA - SALA S3;;;S3;;;;
241;FGA0184 - GESTÃO DA PRODUÇÃO E QUALIDADE;2;2022;2;REJANE MARIA DA COSTA FIGUEIREDO;60h;35T23;130;45;FGA - SALA I9;;;I9;;;;
242;FGA0186 - ELETRICIDADE APLICADA;1;2022;2;JORGE ANDRES CORMANE ANGARITA;90h;2M1234 4M12;2;1;FGA - SALA I8 E LAB ELET;;;I8;;;;
243;FGA0186 - ELETRICIDADE APLICADA;1;2022;2;JORGE ANDRES CORMANE ANGARITA;90h;2M1234 4M12;2;1;FGA - SALA I8 E LAB ELET;;;Lab.Eletr.;;;;
